PDS_VERSION_ID         = PDS3
      1012.50    0.0708158
      1015.00    0.0700876
      1017.50    0.0694216
      1020.00    0.0687859
      1022.50    0.0682748
      1025.00    0.0678464
      1027.50    0.0674233
      1030.00    0.0668451
      1032.50    0.0659356
      1035.00    0.0646805
      1037.50    0.0631702
      1040.00    0.0615266
      1042.50    0.0597644
      1045.00    0.0580548
      1047.50    0.0564068
      1050.00    0.0549316
      1052.50    0.0537024
      1055.00    0.0526993
      1057.50    0.0517382
      1060.00    0.0508360
      1062.50    0.0498167
      1065.00    0.0486292
      1067.50    0.0471910
      1070.00    0.0455628
      1072.50    0.0438525
      1075.00    0.0421180
      1077.50    0.0404205
      1080.00    0.0388304
      1082.50    0.0374445
      1085.00    0.0362172
      1087.50    0.0351670
      1090.00    0.0342332
      1092.50    0.0334150
      1095.00    0.0326772
      1097.50    0.0320382
      1100.00    0.0314832
